Bar Name,Brand Name,active_days,total_days,active_day_pct,zero_day_pct,total_consumption_ml,average_daily_consumption_ml,std_daily_consumption_ml,coefficient_of_variation,active_mean,active_median,active_std,active_cv,demand_frequency,demand_variability,demand_class
Anderson's Bar,Absolut,45,358,12.569832402234638,87.43016759776536,13113.91,36.63103351955307,106.89478800339236,2.91814829484223,291.4202222222222,289.73,129.50750031788067,0.44440121323881515,Occasional,Low Variability,Occasional / Low Variability
Anderson's Bar,Bacardi,69,365,18.904109589041095,81.0958904109589,25966.47,71.14101369863015,159.65321028807494,2.244179580634077,376.32565217391306,386.25,141.0820553215737,0.37489353836653905,Occasional,Low Variability,Occasional / Low Variability
Anderson's Bar,Barefoot,78,362,21.54696132596685,78.45303867403315,26989.63,74.55698895027625,160.24697954308317,2.149322039412771,346.02089743589744,351.22,158.8694902193645,0.459132646024063,Occasional,Low Variability,Occasional / Low Variability
Anderson's Bar,Budweiser,32,352,9.090909090909092,90.9090909090909,10062.29,28.58605113636364,101.26809743100999,3.5425703588065454,314.4465625,274.905,152.73564635816874,0.48572846573308853,Intermittent,Low Variability,Intermittent / Low Variability
Anderson's Bar,Captain Morgan,72,341,21.114369501466275,78.88563049853371,27066.83,79.37486803519062,177.00297750003978,2.229962479075443,375.92819444444444,349.62,192.29744796506566,0.5115270703471639,Occasional,Medium Variability,Occasional / Medium Variability
Anderson's Bar,Coors,58,365,15.890410958904111,84.10958904109589,21479.29,58.847369863013704,145.49203354456046,2.4723625521963046,370.33258620689656,390.515,133.41965791350086,0.3602698301006714,Occasional,Low Variability,Occasional / Low Variability
Anderson's Bar,Grey Goose,66,356,18.53932584269663,81.46067415730337,24026.36,67.48977528089888,154.6111076688776,2.290881945085332,364.0357575757576,374.675,144.71247678983323,0.39752269874125723,Occasional,Low Variability,Occasional / Low Variability
Anderson's Bar,Heineken,45,356,12.640449438202248,87.35955056179775,17413.71,48.91491573033708,137.21434699652588,2.8051637204687117,386.9713333333333,385.5,134.59066080324644,0.34780524863145706,Occasional,Low Variability,Occasional / Low Variability
Anderson's Bar,Jack Daniels,65,359,18.105849582172702,81.8941504178273,21454.32,59.76133704735376,144.69252086509763,2.4211727517148085,330.0664615384615,292.53,162.78094580438815,0.49317626833594497,Occasional,Low Variability,Occasional / Low Variability
Anderson's Bar,Jameson,67,359,18.662952646239557,81.33704735376044,23117.1,64.39303621169915,152.5886035505047,2.369644491507637,345.0313432835821,327.16,167.32617048742384,0.4849593341144606,Occasional,Low Variability,Occasional / Low Variability
Anderson's Bar,Jim Beam,72,365,19.726027397260275,80.27397260273973,25888.54,70.92750684931507,160.9074419207216,2.268618326914665,359.5630555555556,375.505,165.81194264264093,0.46114844136711247,Occasional,Low Variability,Occasional / Low Variability
Anderson's Bar,Malibu,40,360,11.11111111111111,88.88888888888889,13594.76,37.763222222222225,118.54973059257301,3.139290654143676,339.869,322.53,155.11321939068762,0.4563911959922429,Occasional,Low Variability,Occasional / Low Variability
Anderson's Bar,Miller,49,363,13.498622589531681,86.50137741046832,18180.3,50.083471074380164,145.92894591125224,2.9137147002956256,371.02653061224487,395.66,197.59185737852636,0.5325545239378774,Occasional,Medium Variability,Occasional / Medium Variability
Anderson's Bar,Smirnoff,72,358,20.11173184357542,79.88826815642457,24889.670000000002,69.52421787709498,160.35997017329606,2.3065339685917885,345.68986111111116,307.62,180.2462137165033,0.5214101829228043,Occasional,Medium Variability,Occasional / Medium Variability
Anderson's Bar,Sutter Home,59,360,16.38888888888889,83.61111111111111,22815.74,63.37705555555556,164.13497354836937,2.5898169630883316,386.7074576271187,402.37,198.89962629421052,0.5143413253902095,Occasional,Medium Variability,Occasional / Medium Variability
