Bar Name,Brand Name,service_level,mean_stockout_days,mean_lost_demand_ml,mean_ending_inventory_ml,mean_on_hand_ml,share_no_stockout,mean_orders,mean_order_quantity_ml,mean_fulfilled_ml,mean_turnover
Anderson's Bar,Absolut,0.7292562464326217,3.266,291.3929410470815,756.5580300374338,565.6235935101671,0.338,3.308,534.2830210578944,784.8754389529184,1.3876285359351974
Anderson's Bar,Bacardi,0.8096455592959514,3.518,403.59013999999996,3618.051088457293,2783.951357817258,0.256,3.922,1461.8613994026753,1716.6133,0.6166103783314307
Anderson's Bar,Barefoot,1.0,0.0,0.0,5091.12091999999,6158.70459799999,1.0,0.0,0.0,2230.21908,0.36212470406914027
Anderson's Bar,Budweiser,0.6401402362428532,8.802,313.30767136433803,519.1350411541162,382.0568491839234,0.0,2.522,488.51994463161867,557.3305686356621,1.4587634532036915
Anderson's Bar,Captain Morgan,1.0,0.0,0.0,6056.487824414679,7184.384882960979,1.0,0.004,0.978604414678597,2326.79158,0.32386789097538354
Anderson's Bar,Coors,0.9557162283463799,0.824,78.39545733437787,888.0776289935403,1333.2813565466213,0.81,1.642,452.3905683387115,1691.902202665622,1.2689761199750647
Anderson's Bar,Grey Goose,0.6463801961199733,9.25,727.4565470155999,660.6609093441136,508.0012711140098,0.0,3.412,702.2408191320294,1329.7148529844,2.61754237360161
Anderson's Bar,Heineken,0.8313255191544845,2.934,249.40049509108007,1106.6439059173736,846.6284448938985,0.364,3.462,716.3582453600876,1229.1900649089198,1.451864831996006
Anderson's Bar,Jack Daniels,0.9975015193875992,0.05,4.607609998871952,2191.411790019177,3051.0929446689224,0.986,0.286,122.13683506147848,1839.5571900011282,0.6029174539619738
Anderson's Bar,Jameson,0.9773122000473057,0.42,43.01965202143297,1095.7447171575761,1755.2411815426979,0.88,1.184,452.5492673373049,1853.1382879785672,1.0557741622435195
Anderson's Bar,Jim Beam,0.9997399527037236,0.002,0.5591599999999993,2678.468431442509,3469.206912725149,0.998,1.224,554.6000603391926,2149.66508,0.6196416455054808
Anderson's Bar,Malibu,0.9491269711046086,0.696,58.86160739584719,812.6375971447977,1059.9617230421138,0.82,1.482,365.58570722556976,1098.1681326041528,1.0360450842058577
Anderson's Bar,Miller,0.53700878690519,6.686,700.7868429368627,388.26981542478984,305.30423410869855,0.142,3.35,432.75198635098513,812.8203770631374,2.6623291990563946
Anderson's Bar,Smirnoff,1.0,0.0,0.0,6004.87708,7014.202634666666,1.0,0.0,0.0,2080.4329199999997,0.2966029110305091
Anderson's Bar,Sutter Home,1.0,0.0,0.0,4111.310559999989,5047.11751799999,1.0,0.012,3.668446390154408,1933.1794399999999,0.3830264369921104
Anderson's Bar,Yellow Tail,0.9118981297075052,1.324,149.56138436309553,1109.6886918469384,867.1080243022343,0.68,3.77,626.9216901548101,1548.0346356369043,1.7852846384193188
Brown's Bar,Absolut,0.9914235848715475,0.13,13.273059197152405,1423.155655289699,2066.088424919979,0.976,0.7,268.32560256872006,1534.3501608028478,0.742635282351129
Brown's Bar,Bacardi,1.0,0.0,0.0,4168.87421999999,5103.398953999989,1.0,0.0,0.0,1919.6357800000003,0.3761484840403101
Brown's Bar,Barefoot,1.0,0.0,0.0,6896.273539999999,7699.154396666667,1.0,0.0,0.0,1646.37646,0.2138386081350434
Brown's Bar,Budweiser,0.7400820424057664,7.402,378.04513306831615,1076.6166531866054,832.0162924872573,0.0,3.086,804.8639496168248,1076.433566931684,1.293765009954021
Brown's Bar,Captain Morgan,0.9580089695726626,0.72,66.87062945401212,936.7735087306295,1065.767267152919,0.818,2.638,429.48342111958283,1525.627310545988,1.431482611228561
Brown's Bar,Coors,0.8656912165092856,2.184,161.35738250992264,974.4869202542066,789.3067610612937,0.548,3.122,616.7927591058809,1040.0337574900775,1.317654692443859
Brown's Bar,Grey Goose,0.7406944281478234,4.61,608.7574292309031,1293.0441598740445,977.4876509004473,0.158,4.122,860.6985583007572,1738.8875707690968,1.7789355897921155
Brown's Bar,Heineken,0.9053931041749357,1.698,150.44246852971773,566.3307335066088,1031.254352068594,0.68,1.174,353.14029418707753,1439.7425514702823,1.396108097466257
Brown's Bar,Jack Daniels,0.6746167207088833,6.3,500.8335877776148,414.34891338190624,324.67685236366094,0.222,3.572,344.7040944229579,1038.377612222385,3.198187997274684
Brown's Bar,Jameson,1.0,0.0,0.0,4416.943839999991,5399.952474666656,1.0,0.002,0.25604022207919386,2057.58616,0.3810378275832912
Brown's Bar,Jim Beam,0.9550513101563093,0.918,88.32648590551025,1615.3918303526468,1275.6152991689137,0.72,4.01,802.6587558431963,1876.7249140944896,1.4712311112270366
Brown's Bar,Malibu,0.7712263809330475,3.264,352.84905999999995,1997.950755776873,1538.2007700956024,0.318,3.174,1117.2986124060722,1189.50124,0.7733068810816355
