Bar Name,Brand Name,Model,forecast_daily_ml,forecast_adjusted_ml,safety_stock_ml,lead_time_demand_ml,rop_ml,par_level_ml,current_inventory_ml,recommended_order_ml,service_level,mean_stockout_days,mean_on_hand_ml
Anderson's Bar,Absolut,MA-7,0.0,36.63103351955307,500.2252834546805,256.4172346368715,756.6425180915519,1013.0597527284236,2.8421709430403997e-13,1013.0597527284232,0.7292562464326217,3.266,565.6235935101671
Anderson's Bar,Bacardi,MA-7,256.52142857142854,256.52142857142854,607.1920084572935,1795.65,2402.8420084572936,4198.492008457293,108.62,4089.872008457293,0.8096455592959514,3.518,2783.951357817258
Anderson's Bar,Barefoot,MA-7,48.18857142857141,48.18857142857141,808.9910218020616,337.3199999999999,1146.3110218020615,1483.6310218020612,7321.33999999999,0.0,1.0,0.0,6158.70459799999
Anderson's Bar,Budweiser,MA-7,0.0,28.58605113636364,297.55839447851486,200.10235795454548,497.66075243306034,697.7631103876058,0.0,697.7631103876058,0.6401402362428532,8.802,382.0568491839234
Anderson's Bar,Captain Morgan,MA-14,135.60357142857143,135.60357142857143,754.5022073393003,949.225,1703.7272073393003,2652.9522073393005,8383.2,0.0,1.0,0.0,7184.384882960979
Anderson's Bar,Coors,MA-7,45.8657142857143,45.8657142857143,543.5862777669078,321.06000000000006,864.6462777669078,1185.706277766908,2146.01999999999,0.0,0.95571622834638,0.824,1333.2813565466213
Anderson's Bar,Grey Goose,MA-30,40.25433333333333,40.25433333333333,563.141129597531,281.7803333333333,844.9214629308642,1126.7017962641976,0.0,1126.7017962641976,0.6463801961199733,9.25,508.0012711140098
Anderson's Bar,Heineken,MA-14,69.04714285714287,69.04714285714287,519.2223652582185,483.3300000000001,1002.5523652582184,1485.882365258219,181.959999999999,1303.9223652582195,0.8313255191544845,2.934,846.6284448938985
Anderson's Bar,Jack Daniels,Intermittent Mean,59.76133704735373,59.76133704735373,726.1587816190588,418.32935933147616,1144.488140950535,1562.8175002820112,3995.06,0.0,0.9975015193875992,0.05,3051.0929446689224
Anderson's Bar,Jameson,MA-30,49.01533333333333,49.01533333333333,601.5461071811889,343.10733333333326,944.653440514522,1287.7607738478555,2688.37,0.0,0.9773122000473056,0.42,1755.241181542698
