Bar Name,Brand Name,Model,forecast_daily_ml,mean_error,sigma_error,safety_stock_ml,rop_ml,par_level_ml,current_inventory_ml,forecast_original_ml,forecast_adjusted_ml,forecast_adjustment_flag,lead_time_demand_original_ml,rop_original_ml,par_original_ml,lead_time_demand_ml,recommended_order_ml,service_level,mean_stockout_days,mean_lost_demand_ml,mean_ending_inventory_ml,mean_order_quantity_ml
Anderson's Bar,Absolut,MA-7,0.0,28.19311904761905,114.94480879569329,500.22528345468044,756.6425180915519,1013.0597527284235,2.8421709430404e-13,0.0,36.63103351955307,True,0.0,500.22528345468044,500.22528345468044,256.4172346368715,1013.0597527284233,0.7292562464326217,3.266,291.3929410470815,756.5580300374338,534.2830210578944
Anderson's Bar,Bacardi,MA-7,256.52142857142854,23.26979761904762,139.52427360805277,607.1920084572935,2402.8420084572936,4198.492008457293,108.62,256.52142857142854,256.52142857142854,False,1795.6499999999999,2402.8420084572936,4198.492008457293,1795.6499999999999,4089.8720084572933,0.8096455592959514,3.518,403.59013999999996,3618.051088457293,1461.8613994026753
Anderson's Bar,Barefoot,MA-7,48.188571428571414,39.03120238095239,185.89487855604403,808.9910218020616,1146.3110218020615,1483.6310218020612,7321.33999999999,48.188571428571414,48.188571428571414,False,337.3199999999999,1146.3110218020615,1483.6310218020612,337.3199999999999,0.0,1.0,0.0,0.0,5091.12091999999,0.0
Anderson's Bar,Budweiser,MA-7,0.0,-6.115607142857145,68.37477810532359,297.55839447851486,497.66075243306034,697.7631103876058,0.0,0.0,28.58605113636364,True,0.0,297.55839447851486,297.55839447851486,200.10235795454548,697.7631103876058,0.6401402362428532,8.802,313.30767136433803,519.1350411541162,488.51994463161867
Anderson's Bar,Captain Morgan,MA-14,135.60357142857143,12.364357142857138,173.37410728140784,754.5022073393003,1703.7272073393003,2652.9522073393005,8383.2,135.60357142857143,135.60357142857143,False,949.225,1703.7272073393003,2652.9522073393005,949.225,0.0,1.0,0.0,0.0,6056.487824414679,0.978604414678597
Anderson's Bar,Coors,MA-7,45.8657142857143,28.413964285714282,124.90856185909011,543.5862777669078,864.6462777669078,1185.706277766908,2146.01999999999,45.8657142857143,45.8657142857143,False,321.06000000000006,864.6462777669078,1185.706277766908,321.06000000000006,0.0,0.9557162283463799,0.824,78.39545733437787,888.0776289935403,452.3905683387115
Anderson's Bar,Grey Goose,MA-30,40.25433333333333,-10.84783333333333,129.40199467635142,563.141129597531,844.9214629308642,1126.7017962641976,0.0,40.25433333333333,40.25433333333333,False,281.7803333333333,844.9214629308642,1126.7017962641976,281.7803333333333,1126.7017962641976,0.6463801961199733,9.25,727.4565470155999,660.6609093441136,702.2408191320294
Anderson's Bar,Heineken,MA-14,69.04714285714287,24.238916666666668,119.3100738228891,519.2223652582185,1002.5523652582185,1485.8823652582187,181.959999999999,69.04714285714287,69.04714285714287,False,483.3300000000001,1002.5523652582185,1485.8823652582187,483.3300000000001,1303.9223652582195,0.8313255191544845,2.934,249.40049509108007,1106.6439059173736,716.3582453600876
Anderson's Bar,Jack Daniels,Intermittent Mean,59.761337047353734,17.129997171107778,166.86118248974591,726.1587816190588,1144.488140950535,1562.8175002820112,3995.06,59.761337047353734,59.761337047353734,False,418.32935933147616,1144.488140950535,1562.8175002820112,418.32935933147616,0.0,0.9975015193875992,0.05,4.607609998871952,2191.411790019177,122.13683506147848
Anderson's Bar,Jameson,MA-30,49.015333333333324,-0.4939999999999993,138.2269240655041,601.5461071811889,944.6534405145221,1287.7607738478555,2688.37,49.015333333333324,49.015333333333324,False,343.10733333333326,944.6534405145221,1287.7607738478555,343.10733333333326,0.0,0.9773122000473057,0.42,43.01965202143297,1095.7447171575761,452.5492673373049
Anderson's Bar,Jim Beam,MA-7,158.48285714285714,29.937535714285715,173.65419457768667,755.7211118608795,1865.1011118608797,2974.4811118608795,4518.52,158.48285714285714,158.48285714285714,False,1109.38,1865.1011118608797,2974.4811118608795,1109.38,0.0,0.9997399527037236,0.002,0.5591599999999993,2678.468431442509,554.6000603391926
Anderson's Bar,Malibu,Intermittent Mean,37.76322222222223,-14.273575673400671,105.42826483850855,458.81048666335266,723.1530422189082,987.4955977744639,1568.59,37.76322222222223,37.76322222222223,False,264.34255555555563,723.1530422189082,987.4955977744639,264.34255555555563,0.0,0.9491269711046086,0.696,58.86160739584719,812.6375971447977,365.58570722556976
Anderson's Bar,Miller,MA-14,2.0514285714285716,12.649238095238095,149.08731753310678,648.8091672330531,663.1691672330531,677.5291672330532,2.55795384873636e-13,2.0514285714285716,2.0514285714285716,False,14.360000000000001,663.1691672330531,677.5291672330532,14.360000000000001,677.5291672330529,0.53700878690519,6.686,700.7868429368627,388.26981542478984,432.75198635098513
Anderson's Bar,Smirnoff,MA-14,42.40142857142858,10.8165119047619,179.6876035617202,781.977745377932,1078.787745377932,1375.5977453779321,8085.31,42.40142857142858,42.40142857142858,False,296.81000000000006,1078.787745377932,1375.5977453779321,296.81000000000006,0.0,1.0,0.0,0.0,6004.87708,0.0
Anderson's Bar,Sutter Home,Intermittent Mean,63.377055555555586,-7.582651346801346,156.1197492395978,679.4134214017456,1123.0528102906346,1566.6921991795239,6044.48999999999,63.377055555555586,63.377055555555586,False,443.63938888888913,1123.0528102906346,1566.6921991795239,443.63938888888913,0.0,1.0,0.0,0.0,4111.310559999989,3.668446390154408
Anderson's Bar,Yellow Tail,MA-30,67.62200000000001,16.905499999999996,128.3703991563157,558.6517562467287,1032.0057562467289,1505.359756246729,628.649999999999,67.62200000000001,67.62200000000001,False,473.3540000000001,1032.0057562467289,1505.359756246729,473.3540000000001,876.70975624673,0.9118981297075052,1.324,149.56138436309553,1109.6886918469384,626.9216901548101
Brown's Bar,Absolut,Intermittent Mean,50.99508333333332,7.132299095117841,138.40163651604553,602.3064336892827,959.272017022616,1316.2376003559493,2843.64,50.99508333333332,50.99508333333332,False,356.96558333333326,959.272017022616,1316.2376003559493,356.96558333333326,0.0,0.9914235848715475,0.13,13.273059197152405,1423.155655289699,268.32560256872006
Brown's Bar,Bacardi,Intermittent Mean,64.87781163434903,12.543389679068042,148.92361670306826,648.0967619059597,1102.241443346403,1556.3861247868463,6088.50999999999,64.87781163434903,64.87781163434903,False,454.1446814404432,1102.241443346403,1556.3861247868463,454.1446814404432,0.0,1.0,0.0,0.0,4168.87421999999,0.0
Brown's Bar,Barefoot,MA-30,82.70833333333336,3.590083333333332,134.13054367164574,583.7191773256775,1162.677510659011,1741.6358439923445,8542.65,82.70833333333336,82.70833333333336,False,578.9583333333335,1162.677510659011,1741.6358439923445,578.9583333333335,0.0,1.0,0.0,0.0,6896.273539999999,0.0
